,school_badge,school_cat,school_district,school_grade,school_grp,school_name,school_pop,school_ranking,school_ratio,school_state,school_town,school_type,school_url
1754,#691 Best Public Elementary Schools in New Jersey,E,Washington Township School District,BOverall Niche Grade,1-5 ,Wedgwood Elementary School,456 Students,714.0,11:1 Student-Teacher Ratio, NJ ,sewell,Public School ,https://www.niche.com/k12/wedgwood-elementary-school-sewell-nj/
1756,,E,,,,White Township Consolidated School,,,,,belvidere,,https://www.niche.com/k12/white-township-consolidated-school-belvidere-nj/
1758,#693 Best Public Elementary Schools in New Jersey,E,Haddon Township School District,BOverall Niche Grade,"PK, K-5 ",Van Sciver Elementary School,296 Students,715.0,10:1 Student-Teacher Ratio, NJ ,haddonfield,Public School ,https://www.niche.com/k12/van-sciver-elementary-school-haddonfield-nj/
1762,#694 Best Public Elementary Schools in New Jersey,E,Lodi School District,BOverall Niche Grade,K-5 ,Columbus Elementary School,267 Students,716.0,16:1 Student-Teacher Ratio, NJ ,lodi,Public School ,https://www.niche.com/k12/columbus-elementary-school-lodi-nj/
1764,#695 Best Public Elementary Schools in New Jersey,E,Southampton Township School District,BOverall Niche Grade,3-5 ,Southampton Township School No. 2,228 Students,717.0,10:1 Student-Teacher Ratio, NJ ,no-2-southampton,Public School ,https://www.niche.com/k12/southampton-township-school-no-2-southampton-nj/
1766,#696 Best Public Elementary Schools in New Jersey,E,Howell Township Public School District,BOverall Niche Grade,K-2 ,Taunton School,378 Students,718.0,13:1 Student-Teacher Ratio, NJ ,howell,Public School ,https://www.niche.com/k12/taunton-school-howell-nj/
1768,#697 Best Public Elementary Schools in New Jersey,E,Hamilton Township School District (Hamilton),BOverall Niche Grade,"PK, K-5 ",University Heights Elementary School,258 Students,719.0,9:1 Student-Teacher Ratio, NJ ,hamilton,Public School ,https://www.niche.com/k12/university-heights-elementary-school-hamilton-nj/
1770,,E,,,,Fredon Township School,,,,,newton,,https://www.niche.com/k12/fredon-township-school-newton-nj/
1773,#699 Best Public Elementary Schools in New Jersey,E,Cliffside Park School District,BOverall Niche Grade,"PK, 1-6 ",Cliffside Park School No. 5,279 Students,720.0,12:1 Student-Teacher Ratio, NJ ,no-5-cliffside-park,Public School ,https://www.niche.com/k12/cliffside-park-school-no-5-cliffside-park-nj/
1775,#700 Best Public Elementary Schools in New Jersey,E,Franklin Township Public School District,BOverall Niche Grade,"PK, K-4 ",Conerly Road School,429 Students,721.0,12:1 Student-Teacher Ratio, NJ ,somerset,Public School ,https://www.niche.com/k12/conerly-road-school-somerset-nj/
1777,#701 Best Public Elementary Schools in New Jersey,E,Moonachie,BOverall Niche Grade,"PK, K-8 ",Robert L. Craig Elementary School,305 Students,722.0,10:1 Student-Teacher Ratio, NJ ,moonachie,Public School ,https://www.niche.com/k12/robert-l-craig-elementary-school-moonachie-nj/
1783,,E,,,,Laurel Springs School,,,,,laurel-springs,,https://www.niche.com/k12/laurel-springs-school-laurel-springs-nj/
1791,,E,,,,Elsinboro Township School,,,,,salem,,https://www.niche.com/k12/elsinboro-township-school-salem-nj/
1793,#706 Best Public Elementary Schools in New Jersey,E,Ogdensburg,BOverall Niche Grade,K-8 ,Ogdensburg School,238 Students,728.0,9:1 Student-Teacher Ratio, NJ ,ogdensburg,Public School ,https://www.niche.com/k12/ogdensburg-school-ogdensburg-nj/
1795,#707 Best Public Elementary Schools in New Jersey,E,Hazlet Township Public School District,BOverall Niche Grade,1-4 ,Middle Road School,263 Students,729.0,11:1 Student-Teacher Ratio, NJ ,hazlet,Public School ,https://www.niche.com/k12/middle-road-school-hazlet-nj/
1799,#708 Best Public Elementary Schools in New Jersey,E,Eatontown Public School District,BOverall Niche Grade,K-2 ,Meadowbrook Elementary School,285 Students,730.0,10:1 Student-Teacher Ratio, NJ ,eatontown,Public School ,https://www.niche.com/k12/meadowbrook-elementary-school-eatontown-nj/
1801,#709 Best Public Elementary Schools in New Jersey,E,Pennsauken Township Board of Education School District,BOverall Niche Grade,K-4 ,Roosevelt Elementary School,160 Students,731.0,9:1 Student-Teacher Ratio, NJ ,pennsauken,Public School ,https://www.niche.com/k12/roosevelt-elementary-school-pennsauken-nj/
1803,#710 Best Public Elementary Schools in New Jersey,E,Lawrence Township Public School District,BOverall Niche Grade,K-3 ,Eldridge Park School,241 Students,732.0,11:1 Student-Teacher Ratio, NJ ,lawrenceville,Public School ,https://www.niche.com/k12/eldridge-park-school-lawrenceville-nj/
1806,#711 Best Public Elementary Schools in New Jersey,E,Washington Township School District,BOverall Niche Grade,1-5 ,Thomas Jefferson Elementary School,346 Students,733.0,7:1 Student-Teacher Ratio, NJ ,turnersville,Public School ,https://www.niche.com/k12/thomas-jefferson-elementary-school-turnersville-nj/
1808,#712 Best Public Elementary Schools in New Jersey,E,Sussex-Wantage Regional School District,BOverall Niche Grade,3-5 ,Wantage Elementary School,326 Students,734.0,8:1 Student-Teacher Ratio, NJ ,wantage,Public School ,https://www.niche.com/k12/wantage-elementary-school-wantage-nj/
1810,#713 Best Public Elementary Schools in New Jersey,E,Clifton Public School District,BOverall Niche Grade,"PK, K-5 ",Clifton School No. 8,339 Students,735.0,12:1 Student-Teacher Ratio, NJ ,no-8-clifton,Public School ,https://www.niche.com/k12/clifton-school-no-8-clifton-nj/
1814,#714 Best Public Elementary Schools in New Jersey,E,Medford Lakes School District,BOverall Niche Grade,3-8 ,Neeta School,368 Students,736.0,12:1 Student-Teacher Ratio, NJ ,medford-lakes,Public School ,https://www.niche.com/k12/neeta-school-medford-lakes-nj/
1816,#715 Best Public Elementary Schools in New Jersey,E,Egg Harbor Township School District,BOverall Niche Grade,"PK, K-3 ",E.H. Slaybaugh Elementary School,869 Students,737.0,17:1 Student-Teacher Ratio, NJ ,egg-harbor-township,Public School ,https://www.niche.com/k12/eh-slaybaugh-elementary-school-egg-harbor-township-nj/
1818,,E,,,,Farmingdale Elementary School,,,,,farmingdale,,https://www.niche.com/k12/farmingdale-elementary-school-farmingdale-nj/
1820,,E,,,,Gibbsboro School,,,,,gibbsboro,,https://www.niche.com/k12/gibbsboro-school-gibbsboro-nj/
1822,,E,,,,Lafayette Township School,,,,,lafayette,,https://www.niche.com/k12/lafayette-township-school-lafayette-nj/
1826,#719 Best Public Elementary Schools in New Jersey,E,Woodbridge Township School District,BOverall Niche Grade,K-5 ,Oak Ridge Heights Elementary School,292 Students,738.0,15:1 Student-Teacher Ratio, NJ ,colonia,Public School ,https://www.niche.com/k12/oak-ridge-heights-elementary-school-colonia-nj/
1828,#720 Best Public Elementary Schools in New Jersey,E,Sayreville School District,BOverall Niche Grade,K-3 ,Harry S. Truman Elementary School,526 Students,739.0,14:1 Student-Teacher Ratio, NJ ,parlin,Public School ,https://www.niche.com/k12/harry-s-truman-elementary-school-parlin-nj/
1830,#721 Best Public Elementary Schools in New Jersey,E,North Brunswick Township School District,BOverall Niche Grade,K-5 ,John Adams Elementary School,659 Students,740.0,13:1 Student-Teacher Ratio, NJ ,north-brunswick,Public School ,https://www.niche.com/k12/john-adams-elementary-school-north-brunswick-nj/
1832,#722 Best Public Elementary Schools in New Jersey,E,Shamong Township School District,BOverall Niche Grade,"PK, K-4 ",Indian Mills Elementary School,401 Students,741.0,10:1 Student-Teacher Ratio, NJ ,shamong,Public School ,https://www.niche.com/k12/indian-mills-elementary-school-shamong-nj/
1834,#723 Best Public Elementary Schools in New Jersey,E,Clifton Public School District,BOverall Niche Grade,K-5 ,Clifton School No. 9,272 Students,742.0,14:1 Student-Teacher Ratio, NJ ,no-9-clifton,Public School ,https://www.niche.com/k12/clifton-school-no-9-clifton-nj/
1837,#724 Best Public Elementary Schools in New Jersey,E,Rockaway Borough School District,BOverall Niche Grade,"PK, K-3 ",Lincoln Elementary School,235 Students,743.0,11:1 Student-Teacher Ratio, NJ ,rockaway,Public School ,https://www.niche.com/k12/lincoln-elementary-school-rockaway-nj/
1839,#725 Best Public Elementary Schools in New Jersey,E,Jefferson Township School District,BOverall Niche Grade,3-5 ,Arthur Stanlick Elementary School,313 Students,744.0,9:1 Student-Teacher Ratio, NJ ,lk-shawnee-jefferson-twsp,Public School ,https://www.niche.com/k12/arthur-stanlick-elementary-school-lk-shawnee-jefferson-twsp-nj/
1841,#726 Best Public Elementary Schools in New Jersey,E,Westampton Township Public School District,BOverall Niche Grade,K-4 ,Holly Hills Elementary School,478 Students,745.0,12:1 Student-Teacher Ratio, NJ ,westampton,Public School ,https://www.niche.com/k12/holly-hills-elementary-school-westampton-nj/
1856,,E,,,,Lebanon Borough School,,,,,lebanon,,https://www.niche.com/k12/lebanon-borough-school-lebanon-nj/
1873,#739 Best Public Elementary Schools in New Jersey,E,Garwood,BOverall Niche Grade,"PK, K-8 ",Lincoln Franklin Elementary School,369 Students,758.0,12:1 Student-Teacher Ratio, NJ ,garwood,Public School ,https://www.niche.com/k12/lincoln-franklin-elementary-school-garwood-nj/
1877,#740 Best Public Elementary Schools in New Jersey,E,Saddle Brook School District,BOverall Niche Grade,K-6 ,Franklin School,298 Students,759.0,14:1 Student-Teacher Ratio, NJ ,saddle-brook,Public School ,https://www.niche.com/k12/franklin-school-saddle-brook-nj/
1879,#741 Best Public Elementary Schools in New Jersey,E,Egg Harbor Township School District,BOverall Niche Grade,"PK, K-3 ",Clayton J. Davenport Elementary School,712 Students,760.0,13:1 Student-Teacher Ratio, NJ ,egg-harbor-township,Public School ,https://www.niche.com/k12/clayton-j-davenport-elementary-school-egg-harbor-township-nj/
1881,#742 Best Public Elementary Schools in New Jersey,E,Union Township School District (Union),BOverall Niche Grade,"PK, K-4 ",Livingston Elementary School,413 Students,761.0,13:1 Student-Teacher Ratio, NJ ,union,Public School ,https://www.niche.com/k12/livingston-elementary-school-union-nj/
1883,#743 Best Public Elementary Schools in New Jersey,E,North Hanover Township School District,BOverall Niche Grade,1-4 ,C.B. Lamb Elementary School,393 Students,762.0,11:1 Student-Teacher Ratio, NJ ,wrightstown,Public School ,https://www.niche.com/k12/cb-lamb-elementary-school-wrightstown-nj/
1885,#744 Best Public Elementary Schools in New Jersey,E,Jersey City School District,BOverall Niche Grade,"PK, K-4 ",Dr. Paul Rafalides School - P.S. 33,404 Students,763.0,13:1 Student-Teacher Ratio, NJ ,--ps-33-jersey-city,Public School ,https://www.niche.com/k12/dr-paul-rafalides-school---ps-33-jersey-city-nj/
1889,#745 Best Public Elementary Schools in New Jersey,E,Millville,BOverall Niche Grade,K-7 ,Millville Public Charter School,306 Students,764.0,11:1 Student-Teacher Ratio, NJ ,millville,Public School ,https://www.niche.com/k12/millville-public-charter-school-millville-nj/
1891,#746 Best Public Elementary Schools in New Jersey,E,Clifton Public School District,BOverall Niche Grade,K-5 ,Clifton School No. 2,381 Students,765.0,13:1 Student-Teacher Ratio, NJ ,no-2-clifton,Public School ,https://www.niche.com/k12/clifton-school-no-2-clifton-nj/
1893,#747 Best Public Elementary Schools in New Jersey,E,Toms River Regional School District,BOverall Niche Grade,K-5 ,East Dover Elementary School,636 Students,766.0,12:1 Student-Teacher Ratio, NJ ,toms-river,Public School ,https://www.niche.com/k12/east-dover-elementary-school-toms-river-nj/
1895,#748 Best Public Elementary Schools in New Jersey,E,Wood-Ridge School District,BOverall Niche Grade,4-6 ,Wood-Ridge Intermediate School,262 Students,767.0,20:1 Student-Teacher Ratio, NJ ,wood-ridge,Public School ,https://www.niche.com/k12/wood-ridge-intermediate-school-wood-ridge-nj/
1897,#749 Best Public Elementary Schools in New Jersey,E,Berlin,BOverall Niche Grade,"PK, K-8 ",Berlin Community School,779 Students,768.0,11:1 Student-Teacher Ratio, NJ ,berlin,Public School ,https://www.niche.com/k12/berlin-community-school-berlin-nj/
1900,#750 Best Public Elementary Schools in New Jersey,E,Evesham Township School District,BOverall Niche Grade,K-5 ,Marlton Elementary School,385 Students,769.0,11:1 Student-Teacher Ratio, NJ ,marlton,Public School ,https://www.niche.com/k12/marlton-elementary-school-marlton-nj/
1902,,E,,,,Wildwood Crest School,,,,,wildwood-crest,,https://www.niche.com/k12/wildwood-crest-school-wildwood-crest-nj/
1904,#752 Best Public Elementary Schools in New Jersey,E,Wallington School District,BOverall Niche Grade,K-3 ,Jefferson Elementary School,289 Students,770.0,15:1 Student-Teacher Ratio, NJ ,wallington,Public School ,https://www.niche.com/k12/jefferson-elementary-school-wallington-nj/
1912,,E,,,,Island Heights Elementary School,,,,,island-heights,,https://www.niche.com/k12/island-heights-elementary-school-island-heights-nj/
1922,#758 Best Public Elementary Schools in New Jersey,E,Morristown,BOverall Niche Grade,K-8 ,Unity Charter School,234 Students,778.0,11:1 Student-Teacher Ratio, NJ ,morristown,Public School ,https://www.niche.com/k12/unity-charter-school-morristown-nj/
1926,#759 Best Public Elementary Schools in New Jersey,E,Nutley Public School District,BOverall Niche Grade,K-6 ,Lincoln School,411 Students,779.0,9:1 Student-Teacher Ratio, NJ ,nutley,Public School ,https://www.niche.com/k12/lincoln-school-nutley-nj/
1928,#760 Best Public Elementary Schools in New Jersey,E,Linden Public School District,BOverall Niche Grade,"PK, K-5 ",School No. 2,560 Students,780.0,9:1 Student-Teacher Ratio, NJ ,no-2-linden,Public School ,https://www.niche.com/k12/school-no-2-linden-nj/
1930,#761 Best Public Elementary Schools in New Jersey,E,Union Township School District (Union),BOverall Niche Grade,5 ,Central Five Jefferson School,511 Students,781.0,9:1 Student-Teacher Ratio, NJ ,union,Public School ,https://www.niche.com/k12/central-five-jefferson-school-union-nj/
1933,,E,,,,Stow Creek School,,,,,bridgeton,,https://www.niche.com/k12/stow-creek-school-bridgeton-nj/
1935,#763 Best Public Elementary Schools in New Jersey,E,Hazlet Township Public School District,BOverall Niche Grade,1-4 ,Raritan Valley School,231 Students,782.0,10:1 Student-Teacher Ratio, NJ ,hazlet,Public School ,https://www.niche.com/k12/raritan-valley-school-hazlet-nj/
1937,#764 Best Public Elementary Schools in New Jersey,E,Swedesboro-Woolwich School District,BOverall Niche Grade,3-5 ,Gen. Charles G. Harker School,708 Students,783.0,12:1 Student-Teacher Ratio, NJ ,woolwich-township,Public School ,https://www.niche.com/k12/gen-charles-g-harker-school-woolwich-township-nj/
1941,#765 Best Public Elementary Schools in New Jersey,E,Vineland,BOverall Niche Grade,K-10 ,Vineland Public Charter School,402 Students,784.0,13:1 Student-Teacher Ratio, NJ ,vineland,Public School ,https://www.niche.com/k12/vineland-public-charter-school-vineland-nj/
1943,#766 Best Public Elementary Schools in New Jersey,E,Quinton,BOverall Niche Grade,"PK, K-8 ",Quinton Township Elementary School,347 Students,785.0,12:1 Student-Teacher Ratio, NJ ,quinton,Public School ,https://www.niche.com/k12/quinton-township-elementary-school-quinton-nj/
1945,#767 Best Public Elementary Schools in New Jersey,E,Vernon Township School District,BOverall Niche Grade,2-4 ,Rolling Hills Elementary School,324 Students,786.0,10:1 Student-Teacher Ratio, NJ ,vernon,Public School ,https://www.niche.com/k12/rolling-hills-elementary-school-vernon-nj/
1947,#768 Best Public Elementary Schools in New Jersey,E,Jackson Township School District,BOverall Niche Grade,K-5 ,Crawford-Rodriguez Elementary School,651 Students,787.0,11:1 Student-Teacher Ratio, NJ ,jackson,Public School ,https://www.niche.com/k12/crawford-rodriguez-elementary-school-jackson-nj/
1949,,E,nj,,,,,,,nj,,,https://www.niche.com/k12/middle-township-elementary-no-2-cape-may-court-house-nj/
1952,#771 Best Public Elementary Schools in New Jersey,E,Hamilton Township School District (Hamilton),BOverall Niche Grade,"PK, K-5 ",Yardville Heights Elementary School,227 Students,788.0,11:1 Student-Teacher Ratio, NJ ,hamilton,Public School ,https://www.niche.com/k12/yardville-heights-elementary-school-hamilton-nj/
